tempo_segundos,memoria_kbytes
18.55,4888
18.87,4828
18.73,5016
17.71,5016
17.46,4816
18.98,4884
21.63,4888
20.42,4828
19.16,4948
21,4828
20.99,4828
18.93,4704
20.14,4884
23.87,4888
23.97,4880
22.42,4888
19.9,5004
17.53,4884
19.57,4828
18.43,4892
19.2,5016
21.41,4828
20.24,4760
20.65,4828
22.36,4892
23.79,4892
22.13,4704
22.45,4828
21.21,4828
23.34,4884
