tempo_segundos,memoria_kbytes
16.92,6144
18.31,6144
19.14,6272
17.95,6144
20.82,6144
17.21,6016
16.47,6272
14.25,6144
16.26,6144
19.41,6144
17.4,6144
17,6272
18.88,6144
19.2,6144
19.57,6272
18.01,6272
18.6,6272
20.45,6400
18.77,6400
19.44,6400
21.24,6272
20.1,6272
20.34,6400
22.2,6528
20.63,6272
23.14,6400
18.65,6272
17.06,6272
14.43,6144
15.91,5888
