tempo_segundos,memoria_kbytes
10.13,4248
11.54,4188
9.65,4188
9.04,4372
10.56,4248
10.28,4188
11,4504
10.35,4316
10.81,4376
14.19,4380
13.47,4316
12.46,4436
12.18,4316
12.09,4380
14.65,4248
16.46,4380
13.13,4376
10.41,4504
10.92,4248
14.42,4316
14.49,4192
13.03,4248
15.35,4504
13.01,4312
14.01,4316
14.94,4188
13.84,4248
14.26,4372
17.25,4192
16.36,4316
