tempo_segundos,memoria_kbytes
1.79,4736
1.36,4864
1.34,4736
1.37,4736
1.41,4608
1.19,4864
1.38,4864
1.54,4864
1.77,4864
1.63,4736
1.85,4864
1.45,4608
1.37,4736
1.56,4864
1.26,4864
1.71,4864
1.68,4736
1.81,4736
1.7,4864
1.81,4864
1.61,4992
1.81,4864
1.91,4864
1.97,4736
1.73,4992
1.5,4864
1.76,4736
1.98,4864
2.07,4736
1.85,4736
