tempo_segundos,memoria_kbytes
17.08,4632
18.44,4632
17.41,4504
18.38,4632
18.11,4628
18.68,4572
18.74,4444
18.34,4448
19.29,4504
19.29,4568
19.02,4572
21.13,4628
21.73,4444
20.56,4572
19.1,4572
19.13,4632
24.54,4444
17.2,4636
24.39,4760
22.76,4504
23.77,4632
24.57,4504
20.88,4632
19.94,4632
19.37,4628
15.77,4504
16.6,4572
16.73,4632
20.1,4572
20.15,4504
