tempo_segundos,memoria_kbytes
2.56,3712
2.19,3712
2.15,3712
2.03,3584
2.12,3712
2.3,3712
2.05,3712
2.07,3712
2.45,3456
2.64,3584
1.59,3840
1.88,3584
1.96,3712
1.85,3712
2.05,3712
2.11,3712
1.94,3584
1.87,3712
2.15,3712
1.72,3712
1.73,3712
1.71,3712
2.08,3712
1.91,3968
1.92,3712
2.1,3712
1.99,3584
2.1,3712
2.06,3584
1.9,3840
